source,path_id,type,name,output
resources.assets,1,Texture2D,reflect,textures/reflect.png
resources.assets,2,Texture2D,reflect,textures/reflect-2.png
resources.assets,3,Texture2D,shadow,textures/shadow.png
resources.assets,4,Shader,Unlit - Transparent Colored (SoftClip),shaders/Unlit_-_Transparent_Colored__SoftClip_.shader.txt
resources.assets,5,Shader,Unlit - Transparent Colored (Packed) (HardClip),shaders/Unlit_-_Transparent_Colored__Packed___HardClip_.shader.txt
resources.assets,6,Shader,Unlit - Depth,shaders/Unlit_-_Depth.shader.txt
resources.assets,7,Shader,Unlit - Transparent Colored (Packed) (SoftClip),shaders/Unlit_-_Transparent_Colored__Packed___SoftClip_.shader.txt
resources.assets,8,Shader,,shaders/resources.assets_Shader_8.shader.txt
resources.assets,9,Shader,Unlit - Additive Colored,shaders/Unlit_-_Additive_Colored.shader.txt
resources.assets,10,Shader,Unlit - Transparent Colored (AlphaClip),shaders/Unlit_-_Transparent_Colored__AlphaClip_.shader.txt
resources.assets,11,Shader,Unlit - Transparent Colored (Packed) (AlphaClip) ,shaders/Unlit_-_Transparent_Colored__Packed___AlphaClip_.shader.txt
resources.assets,12,Shader,Unlit - Transparent Colored Overlay,shaders/Unlit_-_Transparent_Colored_Overlay.shader.txt
resources.assets,13,Shader,,shaders/resources.assets_Shader_13.shader.txt
resources.assets,14,Shader,Unlit - Depth Cutout,shaders/Unlit_-_Depth_Cutout.shader.txt
resources.assets,15,Shader,,shaders/resources.assets_Shader_15.shader.txt
resources.assets,16,Shader,,shaders/resources.assets_Shader_16.shader.txt
resources.assets,17,Shader,,shaders/resources.assets_Shader_17.shader.txt
resources.assets,18,Shader,SysFontUnlitTransparent,shaders/SysFontUnlitTransparent.shader.txt
resources.assets,19,Shader,Unlit - Transparent Colored (HardClip),shaders/Unlit_-_Transparent_Colored__HardClip_.shader.txt
resources.assets,20,Shader,Unlit - Transparent Colored (Packed),shaders/Unlit_-_Transparent_Colored__Packed_.shader.txt
resources.assets,21,Shader,Unlit - Masked Colored,shaders/Unlit_-_Masked_Colored.shader.txt
unity default resources,1,Shader,Normal-DiffuseFast,shaders/Normal-DiffuseFast.shader.txt
unity default resources,2,Shader,Normal-Bumped,shaders/Normal-Bumped.shader.txt
unity default resources,3,Shader,Normal-Glossy,shaders/Normal-Glossy.shader.txt
unity default resources,4,Shader,Normal-BumpSpec,shaders/Normal-BumpSpec.shader.txt
unity default resources,5,Shader,Normal-DiffuseDetail,shaders/Normal-DiffuseDetail.shader.txt
unity default resources,6,Shader,Normal-VertexLit,shaders/Normal-VertexLit.shader.txt
unity default resources,7,Shader,Normal-Diffuse,shaders/Normal-Diffuse.shader.txt
unity default resources,8,Shader,Normal-Parallax,shaders/Normal-Parallax.shader.txt
unity default resources,9,Shader,Normal-ParallaxSpec,shaders/Normal-ParallaxSpec.shader.txt
unity default resources,10,Shader,Illumin-Diffuse,shaders/Illumin-Diffuse.shader.txt
unity default resources,11,Shader,Illumin-Bumped,shaders/Illumin-Bumped.shader.txt
unity default resources,12,Shader,Illumin-Glossy,shaders/Illumin-Glossy.shader.txt
unity default resources,13,Shader,Illumin-BumpSpec,shaders/Illumin-BumpSpec.shader.txt
unity default resources,14,Shader,Illumin-VertexLit,shaders/Illumin-VertexLit.shader.txt
unity default resources,15,Shader,Illumin-Parallax,shaders/Illumin-Parallax.shader.txt
unity default resources,16,Shader,Illumin-ParallaxSpec,shaders/Illumin-ParallaxSpec.shader.txt
unity default resources,20,Shader,Reflect-Diffuse,shaders/Reflect-Diffuse.shader.txt
unity default resources,21,Shader,Reflect-Bumped,shaders/Reflect-Bumped.shader.txt
unity default resources,22,Shader,Reflect-Glossy,shaders/Reflect-Glossy.shader.txt
unity default resources,23,Shader,Reflect-BumpSpec,shaders/Reflect-BumpSpec.shader.txt
unity default resources,24,Shader,Reflect-VertexLit,shaders/Reflect-VertexLit.shader.txt
unity default resources,25,Shader,Reflect-BumpNolight,shaders/Reflect-BumpNolight.shader.txt
unity default resources,26,Shader,Reflect-BumpVertexLit,shaders/Reflect-BumpVertexLit.shader.txt
unity default resources,27,Shader,Reflect-Parallax,shaders/Reflect-Parallax.shader.txt
unity default resources,28,Shader,Reflect-ParallaxSpec,shaders/Reflect-ParallaxSpec.shader.txt
unity default resources,30,Shader,Alpha-Diffuse,shaders/Alpha-Diffuse.shader.txt
unity default resources,31,Shader,Alpha-Bumped,shaders/Alpha-Bumped.shader.txt
unity default resources,32,Shader,Alpha-Glossy,shaders/Alpha-Glossy.shader.txt
unity default resources,33,Shader,Alpha-BumpSpec,shaders/Alpha-BumpSpec.shader.txt
unity default resources,34,Shader,Alpha-VertexLit,shaders/Alpha-VertexLit.shader.txt
unity default resources,35,Shader,Alpha-Parallax,shaders/Alpha-Parallax.shader.txt
unity default resources,36,Shader,Alpha-ParallaxSpec,shaders/Alpha-ParallaxSpec.shader.txt
unity default resources,50,Shader,AlphaTest-VertexLit,shaders/AlphaTest-VertexLit.shader.txt
unity default resources,51,Shader,AlphaTest-Diffuse,shaders/AlphaTest-Diffuse.shader.txt
unity default resources,52,Shader,AlphaTest-Bumped,shaders/AlphaTest-Bumped.shader.txt
unity default resources,53,Shader,AlphaTest-Glossy,shaders/AlphaTest-Glossy.shader.txt
unity default resources,54,Shader,AlphaTest-BumpSpec,shaders/AlphaTest-BumpSpec.shader.txt
unity default resources,60,Shader,Shadow-ScreenBlur,shaders/Shadow-ScreenBlur.shader.txt
unity default resources,61,Shader,Camera-DepthTexture,shaders/Camera-DepthTexture.shader.txt
unity default resources,62,Shader,Camera-DepthNormalTexture,shaders/Camera-DepthNormalTexture.shader.txt
unity default resources,63,Shader,Internal-PrePassLighting,shaders/Internal-PrePassLighting.shader.txt
unity default resources,64,Shader,Internal-PrePassCollectShadows,shaders/Internal-PrePassCollectShadows.shader.txt
unity default resources,65,Shader,Internal-CombineDepthNormals,shaders/Internal-CombineDepthNormals.shader.txt
unity default resources,66,Shader,Internal-BlitCopy,shaders/Internal-BlitCopy.shader.txt
unity default resources,67,Shader,Shadow-ScreenBlurRotated,shaders/Shadow-ScreenBlurRotated.shader.txt
unity default resources,68,Shader,Internal-Clear,shaders/Internal-Clear.shader.txt
unity default resources,100,Shader,,shaders/unity_default_resources_Shader_100.shader.txt
unity default resources,101,Shader,Flare,shaders/Flare.shader.txt
unity default resources,102,Shader,Internal-Flare,shaders/Internal-Flare.shader.txt
unity default resources,103,Shader,skybox cubed,shaders/skybox_cubed.shader.txt
unity default resources,104,Shader,Skybox,shaders/Skybox.shader.txt
unity default resources,105,Shader,Internal-Halo,shaders/Internal-Halo.shader.txt
unity default resources,200,Shader,Particle Add,shaders/Particle_Add.shader.txt
