source,kind,bytes,output
CreditInfoViewCell.nib,nib,2005,loose/CreditInfoViewCell.nib
CreditInfoWithSelectViewCell.nib,nib,1909,loose/CreditInfoWithSelectViewCell.nib
CreditInfoWithSubViewCell.nib,nib,2282,loose/CreditInfoWithSubViewCell.nib
DEFacebookAttachmentFrame.png,png,1006,loose/DEFacebookAttachmentFrame.png
DEFacebookAttachmentFrame@2x.png,png,2213,loose/DEFacebookAttachmentFrame@2x.png
DEFacebookCancelButtonLandscape.png,png,581,loose/DEFacebookCancelButtonLandscape.png
DEFacebookCancelButtonLandscape@2x.png,png,1290,loose/DEFacebookCancelButtonLandscape@2x.png
DEFacebookCancelButtonPortrait.png,png,738,loose/DEFacebookCancelButtonPortrait.png
DEFacebookCancelButtonPortrait@2x.png,png,1696,loose/DEFacebookCancelButtonPortrait@2x.png
DEFacebookCardAccountLine.png,png,324,loose/DEFacebookCardAccountLine.png
DEFacebookCardAccountLine@2x.png,png,1036,loose/DEFacebookCardAccountLine@2x.png
DEFacebookCardBackground.png,png,6215,loose/DEFacebookCardBackground.png
DEFacebookCardBackground@2x.png,png,19451,loose/DEFacebookCardBackground@2x.png
DEFacebookCardHeaderLine.png,png,156,loose/DEFacebookCardHeaderLine.png
DEFacebookCardHeaderLine@2x.png,png,285,loose/DEFacebookCardHeaderLine@2x.png
DEFacebookComposeView.nib,nib,4720,loose/DEFacebookComposeView.nib
DEFacebookPaperClip.png,png,2787,loose/DEFacebookPaperClip.png
DEFacebookPaperClip@2x.png,png,8495,loose/DEFacebookPaperClip@2x.png
DEFacebookSendButtonLandscape.png,png,591,loose/DEFacebookSendButtonLandscape.png
DEFacebookSendButtonLandscape@2x.png,png,1285,loose/DEFacebookSendButtonLandscape@2x.png
DEFacebookSendButtonPortrait.png,png,655,loose/DEFacebookSendButtonPortrait.png
DEFacebookSendButtonPortrait@2x.png,png,1425,loose/DEFacebookSendButtonPortrait@2x.png
DEFacebookURLAttachment.png,png,6070,loose/DEFacebookURLAttachment.png
DEFacebookURLAttachment@2x.png,png,14842,loose/DEFacebookURLAttachment@2x.png
Default-568h@2x.png,png,59373,loose/Default-568h@2x.png
Default.png,png,408787,loose/Default.png
Default@2x.png,png,54147,loose/Default@2x.png
DominoPizzaLoop.aif,aif,1414486,loose/DominoPizzaLoop.aif
DominoPizzaNG.aif,aif,354018,loose/DominoPizzaNG.aif
DominoPizzaSE.aif,aif,354018,loose/DominoPizzaSE.aif
DominosPizza-Info.plist,plist,793,loose/DominosPizza-Info.plist
DominosUnitTests-Info.plist,plist,346,loose/DominosUnitTests-Info.plist
English.lproj/InfoPlist.strings,strings,81,loose/English.lproj/InfoPlist.strings
English.lproj/Localizable.strings,strings,171,loose/English.lproj/Localizable.strings
Entitlements.plist,plist,62,loose/Entitlements.plist
FacebookSDKResources.bundle/Contents/Resources/en.lproj/Localizable.strings,strings,3972,loose/FacebookSDKResources.bundle/Contents/Resources/en.lproj/Localizable.strings
FacebookSDKResources.bundle/Contents/Resources/he.lproj/Localizable.strings,strings,4000,loose/FacebookSDKResources.bundle/Contents/Resources/he.lproj/Localizable.strings
FacebookSDKResources.bundle/FBDialog/images/close.png,png,4401,loose/FacebookSDKResources.bundle/FBDialog/images/close.png
FacebookSDKResources.bundle/FBDialog/images/close@2x.png,png,5554,loose/FacebookSDKResources.bundle/FBDialog/images/close@2x.png
FacebookSDKResources.bundle/FBDialog/images/fbicon.png,png,226,loose/FacebookSDKResources.bundle/FBDialog/images/fbicon.png
FacebookSDKResources.bundle/FBFriendPickerView/images/default.png,png,834,loose/FacebookSDKResources.bundle/FBFriendPickerView/images/default.png
FacebookSDKResources.bundle/FBLoginView/images/bluetint.png,png,75,loose/FacebookSDKResources.bundle/FBLoginView/images/bluetint.png
FacebookSDKResources.bundle/FBLoginView/images/f_logo.png,png,509,loose/FacebookSDKResources.bundle/FBLoginView/images/f_logo.png
FacebookSDKResources.bundle/FBLoginView/images/facebook.png,png,3156,loose/FacebookSDKResources.bundle/FBLoginView/images/facebook.png
FacebookSDKResources.bundle/FBLoginView/images/login-button-small-pressed.png,png,1047,loose/FacebookSDKResources.bundle/FBLoginView/images/login-button-small-pressed.png
FacebookSDKResources.bundle/FBLoginView/images/login-button-small-pressed@2x.png,png,1977,loose/FacebookSDKResources.bundle/FBLoginView/images/login-button-small-pressed@2x.png
FacebookSDKResources.bundle/FBLoginView/images/login-button-small.png,png,991,loose/FacebookSDKResources.bundle/FBLoginView/images/login-button-small.png
FacebookSDKResources.bundle/FBLoginView/images/login-button-small@2x.png,png,2036,loose/FacebookSDKResources.bundle/FBLoginView/images/login-button-small@2x.png
FacebookSDKResources.bundle/FBPlacePickerView/images/fb_generic_place.png,png,813,loose/FacebookSDKResources.bundle/FBPlacePickerView/images/fb_generic_place.png
FacebookSDKResources.bundle/FBProfilePictureView/images/fb_blank_profile_portrait.png,png,3945,loose/FacebookSDKResources.bundle/FBProfilePictureView/images/fb_blank_profile_portrait.png
FacebookSDKResources.bundle/FBProfilePictureView/images/fb_blank_profile_square.png,png,3784,loose/FacebookSDKResources.bundle/FBProfilePictureView/images/fb_blank_profile_square.png
Icon.png,png,9449,loose/Icon.png
Icon@2x.png,png,31737,loose/Icon@2x.png
Info.plist,plist,1591,loose/Info.plist
Japanese.lproj/InfoPlist.strings,strings,81,loose/Japanese.lproj/InfoPlist.strings
Japanese.lproj/Localizable.strings,strings,171,loose/Japanese.lproj/Localizable.strings
MainWindow.nib,nib,3191,loose/MainWindow.nib
NavBarLandscape.png,png,363,loose/NavBarLandscape.png
NavBarLandscape1.png,png,27217,loose/NavBarLandscape1.png
NavBarLandscape@2x.png,png,648,loose/NavBarLandscape@2x.png
NavBarLandscape@2x1.png,png,72966,loose/NavBarLandscape@2x1.png
PizzaSongBikeGame.aif,aif,2651696,loose/PizzaSongBikeGame.aif
QCAR/DominoLogo.dat,dat,95296,loose/QCAR/DominoLogo.dat
QCAR/DominoLogo.xml,xml,262,loose/QCAR/DominoLogo.xml
QCAR/DominoMiku.dat,dat,1109567,loose/QCAR/DominoMiku.dat
QCAR/DominoMiku.xml,xml,541,loose/QCAR/DominoMiku.xml
QCAR/DominoMiku2.dat,dat,1121358,loose/QCAR/DominoMiku2.dat
QCAR/DominoMiku2.xml,xml,541,loose/QCAR/DominoMiku2.xml
QCAR/DominoMiku3.dat,dat,1397528,loose/QCAR/DominoMiku3.dat
QCAR/DominoMiku3.xml,xml,849,loose/QCAR/DominoMiku3.xml
ResourceRules.plist,plist,485,loose/ResourceRules.plist
SavedCreditCell.nib,nib,2371,loose/SavedCreditCell.nib
TrackingComment.strings,strings,13494,loose/TrackingComment.strings
TrackingSecondPageImageNameMap.plist,plist,2584,loose/TrackingSecondPageImageNameMap.plist
UnitTest-Info.plist,plist,383,loose/UnitTest-Info.plist
address_alerttxt@2x.png,png,12877,loose/address_alerttxt@2x.png
address_background@2x.png,png,7803,loose/address_background@2x.png
address_confirm@2x.png,png,6189,loose/address_confirm@2x.png
address_menu@2x.png,png,7259,loose/address_menu@2x.png
address_menu_h@2x.png,png,7299,loose/address_menu_h@2x.png
address_section_background@2x.png,png,924,loose/address_section_background@2x.png
address_userlocation@2x.png,png,9016,loose/address_userlocation@2x.png
address_userlocation_h@2x.png,png,9023,loose/address_userlocation_h@2x.png
back.png,png,308,loose/back.png
back@2x.png,png,497,loose/back@2x.png
background@2x.png,png,64748,loose/background@2x.png
bell.aif,aif,297770,loose/bell.aif
bg_cell_topping_detail@2x.png,png,1485,loose/bg_cell_topping_detail@2x.png
bg_limited_wallpaper@2x.png,png,155001,loose/bg_limited_wallpaper@2x.png
bg_mikuplayer@2x.png,png,473907,loose/bg_mikuplayer@2x.png
bg_shadow@2x.png,png,265,loose/bg_shadow@2x.png
btn_camera_park@2x.png,png,91762,loose/btn_camera_park@2x.png
btn_camera_park_h@2x.png,png,109349,loose/btn_camera_park_h@2x.png
